lmax,irreps_type,tensor_product_type,batch,flops,normalization
1,MIMO,CGTP-dense,10000,33462053,6
2,MIMO,CGTP-dense,10000,333198112,19
3,MIMO,CGTP-dense,10000,1525193143,44
4,MIMO,CGTP-dense,10000,5297309449,85
5,MIMO,CGTP-dense,10000,15105391783,146
6,MIMO,CGTP-dense,10000,37651133857,231
7,MIMO,CGTP-dense,10000,85180617541,344
8,MIMO,CGTP-dense,10000,178733330906,489
9,MIMO,CGTP-dense,10000,352839725534,670
10,MIMO,CGTP-dense,10000,668040938714,891
1,SISO,CGTP-dense,10000,7182129,1
2,SISO,CGTP-dense,10000,60638504,1
3,SISO,CGTP-dense,10000,16442977,1
4,SISO,CGTP-dense,10000,327527642,1
5,SISO,CGTP-dense,10000,25720303,1
6,SISO,CGTP-dense,10000,742167716,1
7,SISO,CGTP-dense,10000,35005569,1
8,SISO,CGTP-dense,10000,2078425795,1
9,SISO,CGTP-dense,10000,32948271,1
10,SISO,CGTP-dense,10000,4140647246,1
1,SIMO,CGTP-dense,10000,28298562,1
2,SIMO,CGTP-dense,10000,158437264,1
3,SIMO,CGTP-dense,10000,484897939,1
4,SIMO,CGTP-dense,10000,1274577689,1
5,SIMO,CGTP-dense,10000,2661110706,1
6,SIMO,CGTP-dense,10000,5413596319,1
7,SIMO,CGTP-dense,10000,10041339751,1
8,SIMO,CGTP-dense,10000,18194797753,1
9,SIMO,CGTP-dense,10000,30817637398,1
10,SIMO,CGTP-dense,10000,52304608102,1
1,MIMO,GTP-grid,10000,158798763,5
2,MIMO,GTP-grid,10000,867421820,9
3,MIMO,GTP-grid,10000,2139192053,13
4,MIMO,GTP-grid,10000,5844677219,17
5,MIMO,GTP-grid,10000,11362809064,21
6,MIMO,GTP-grid,10000,21532075211,25
7,MIMO,GTP-grid,10000,35576208329,29
8,MIMO,GTP-grid,10000,57066558657,33
9,MIMO,GTP-grid,10000,86751775280,37
10,MIMO,GTP-grid,10000,128749745055,41
1,SISO,GTP-grid,10000,101757762,1
2,SISO,GTP-grid,10000,436996928,1
3,SISO,GTP-grid,10000,862770752,1
4,SISO,GTP-grid,10000,2209315121,1
5,SISO,GTP-grid,10000,3367815720,1
6,SISO,GTP-grid,10000,5412621168,1
7,SISO,GTP-grid,10000,7372157740,1
8,SISO,GTP-grid,10000,12276552104,1
9,SISO,GTP-grid,10000,15662099805,1
10,SISO,GTP-grid,10000,21032010229,1
1,SIMO,GTP-grid,10000,138747376,1
2,SIMO,GTP-grid,10000,801809912,1
3,SIMO,GTP-grid,10000,1952554889,1
4,SIMO,GTP-grid,10000,5204560501,1
5,SIMO,GTP-grid,10000,9917957411,1
6,SIMO,GTP-grid,10000,18691279225,1
7,SIMO,GTP-grid,10000,30499018111,1
8,SIMO,GTP-grid,10000,48817335352,1
9,SIMO,GTP-grid,10000,73496169731,1
10,SIMO,GTP-grid,10000,108871081014,1
1,MIMO,GTP-fourier,10000,1583191327,5
2,MIMO,GTP-fourier,10000,10051344286,9
3,MIMO,GTP-fourier,10000,33828749683,13
4,MIMO,GTP-fourier,10000,91679183777,17
5,MIMO,GTP-fourier,10000,210763337655,21
6,MIMO,GTP-fourier,10000,417071016989,25
7,MIMO,GTP-fourier,10000,742275451895,29
8,MIMO,GTP-fourier,10000,1251746574636,33
9,MIMO,GTP-fourier,10000,2022884197539,37
10,MIMO,GTP-fourier,10000,3085050435593,41
1,SISO,GTP-fourier,10000,1582951900,1
2,SISO,GTP-fourier,10000,10024105420,1
3,SISO,GTP-fourier,10000,33824924248,1
4,SISO,GTP-fourier,10000,91682205314,1
5,SISO,GTP-fourier,10000,210688798242,1
6,SISO,GTP-fourier,10000,417028860844,1
7,SISO,GTP-fourier,10000,742210633318,1
8,SISO,GTP-fourier,10000,1251569299908,1
9,SISO,GTP-fourier,10000,2022729396685,1
10,SISO,GTP-fourier,10000,3084918812179,1
1,SIMO,GTP-fourier,10000,1582413327,1
2,SIMO,GTP-fourier,10000,10042677034,1
3,SIMO,GTP-fourier,10000,33814211174,1
4,SIMO,GTP-fourier,10000,91633345330,1
5,SIMO,GTP-fourier,10000,210733244350,1
6,SIMO,GTP-fourier,10000,417017779716,1
7,SIMO,GTP-fourier,10000,742244304408,1
8,SIMO,GTP-fourier,10000,1251620201906,1
9,SIMO,GTP-fourier,10000,2022725246231,1
10,SIMO,GTP-fourier,10000,3084831756213,1
1,MIMO,CGTP-sparse,10000,42408462,6
2,MIMO,CGTP-sparse,10000,288759901,19
3,MIMO,CGTP-sparse,10000,1053203677,44
4,MIMO,CGTP-sparse,10000,3205984284,85
5,MIMO,CGTP-sparse,10000,8062316319,146
6,MIMO,CGTP-sparse,10000,18417968326,231
7,MIMO,CGTP-sparse,10000,39946193809,344
8,MIMO,CGTP-sparse,10000,89701504357,489
9,MIMO,CGTP-sparse,10000,186498158893,670
10,MIMO,CGTP-sparse,10000,373003406277,891
1,SISO,CGTP-sparse,10000,7127541,1
2,SISO,CGTP-sparse,10000,46414264,1
3,SISO,CGTP-sparse,10000,16401283,1
4,SISO,CGTP-sparse,10000,136869683,1
5,SISO,CGTP-sparse,10000,25681171,1
6,SISO,CGTP-sparse,10000,330195107,1
7,SISO,CGTP-sparse,10000,34965757,1
8,SISO,CGTP-sparse,10000,917130450,1
9,SISO,CGTP-sparse,10000,32881923,1
10,SISO,CGTP-sparse,10000,2366552535,1
1,SIMO,CGTP-sparse,10000,27978414,1
2,SIMO,CGTP-sparse,10000,106097733,1
3,SIMO,CGTP-sparse,10000,256015239,1
4,SIMO,CGTP-sparse,10000,581200894,1
5,SIMO,CGTP-sparse,10000,1155302897,1
6,SIMO,CGTP-sparse,10000,2281136721,1
7,SIMO,CGTP-sparse,10000,4498283666,1
8,SIMO,CGTP-sparse,10000,9628280803,1
9,SIMO,CGTP-sparse,10000,17781889781,1
10,SIMO,CGTP-sparse,10000,32486045928,1
1,MIMO,Matrix-TP,10000,154904038,5
2,MIMO,Matrix-TP,10000,1295470822,9
3,MIMO,Matrix-TP,10000,5669052891,13
4,MIMO,Matrix-TP,10000,24312109285,17
5,MIMO,Matrix-TP,10000,72125937999,21
6,MIMO,Matrix-TP,10000,184477973984,25
7,MIMO,Matrix-TP,10000,426411684064,29
8,MIMO,Matrix-TP,10000,906489761177,33
9,MIMO,Matrix-TP,10000,1810601251984,37
10,MIMO,Matrix-TP,10000,3423479080534,41