,irreps_type,tensor_product_type,lmax,batch,normalization,Time,all GFLOPs,GB,TC GFLOPs/s,CC GFLOPs/s,all GFLOPs/s,GB/s
0,SISO,GTP-grid,1,10000,1,7.9168e-05,0.2732532322406769,0.004961609840393066,2608.4916486928732,73.03006666256418,2681.521715355437,81.81273829194666
1,MIMO,GTP-fourier,1,10000,5,8.2464e-05,0.2215248942375183,0.01032102108001709,2586.050464692664,249.34414612485637,2835.3946108175205,143.71427117548447
2,SISO,CGTP-sparse,10,10000,1,8.224e-05,0.06224972382187843,0.001600027084350586,49.42906289704035,187.55491724094628,236.9839801379866,6.9030140029417915
3,SIMO,CGTP-dense,7,10000,1,7.8432e-05,0.7187108919024467,0.01839733123779297,5620.400420716244,717.0964699750074,6337.496890691252,219.65236467983976
5,SIMO,GTP-grid,5,10000,1,0.00017260799999999998,1.36053029820323,0.06938707828521729,5370.3812092649005,1318.5244169514647,6688.905626216364,428.81988928058297
6,MIMO,CGTP-sparse,3,10000,44,0.000504992,0.3963466230779886,0.03862178325653076,381.17252969486475,105.126619194089,486.2991488889537,28.30443973676199
7,MIMO,CGTP-sparse,7,10000,344,0.004177664,8.300997408106923,0.39595675468444824,399.13392952395327,154.83478704536063,553.9687165693139,34.94762888021959
8,MIMO,Matrix-TP,6,10000,25,0.00207152,34.60664367675781,0.529468297958374,14329.474105866531,8347.831769923394,22677.305875789927,322.73364318076307
9,SIMO,GTP-grid,7,10000,1,0.000271552,3.4122449532151222,0.16276311874389648,7778.516687570169,1435.6906826476493,9214.207370217817,608.1391961612319
11,MIMO,GTP-grid,4,10000,17,0.000149056,1.0592758134007454,0.046050310134887695,5011.338970951676,1423.407919376763,6434.746890328439,363.4954471541822
13,MIMO,CGTP-sparse,2,10000,19,0.00026176,0.22521268390119076,0.00874936580657959,247.55036100220445,48.66865759635584,296.2190185985603,24.697089931934578
14,SIMO,CGTP-sparse,4,10000,1,0.00023369600000000003,0.3132731206715107,0.002477288246154785,148.32045159392925,57.73538833732618,206.05583993125543,7.634018736382893
15,SISO,GTP-grid,4,10000,1,0.00012412800000000002,0.5698996856808662,0.040853261947631836,2757.911500959645,1621.208630856589,4379.120131816233,359.79915288371484
18,MIMO,CGTP-sparse,1,10000,6,2.8896e-05,0.034289658069610596,0.00032150745391845703,576.7898106233621,61.15485381130644,637.9446644346684,6.311891408645045
19,MIMO,GTP-fourier,8,10000,33,0.009198464,37.471938490867615,0.7060922384262085,13468.084922149728,587.0869877447316,14055.171909894461,712.6579969309208
20,MIMO,Matrix-TP,2,10000,9,0.00017113599999999998,0.4825383871793747,0.013472318649291992,1374.825156020391,1431.6365397276968,2806.4616957480875,142.07056931928167
23,SIMO,CGTP-dense,6,10000,1,6.646399999999999e-05,0.5382155403494835,0.014424443244934082,5075.508297366806,732.379527333221,5807.887824700027,205.40385322687084
24,MIMO,GTP-fourier,3,10000,13,0.000432544,1.2882823050022125,0.05930685997009277,4792.444209825361,316.1246625247017,5108.568872350063,360.5028521557687
26,MIMO,GTP-fourier,5,10000,21,0.0018271359999999998,6.523917347192764,0.18889999389648438,10422.085914827852,508.2523125057614,10930.338227333616,574.948745148286
27,SIMO,GTP-grid,6,10000,1,0.000254656,2.2998899929225445,0.1087791919708252,5480.208889685169,1380.8498133820756,6861.058703067246,495.8793308711965
29,MIMO,CGTP-dense,4,10000,85,0.0006168960000000001,1.8387879133224487,0.0829477310180664,1581.4980469193538,149.20536324901943,1730.7034101683735,137.3981105993077
31,SISO,GTP-fourier,4,10000,1,0.000919744,4.1884301751852036,0.10437393188476562,7737.82031113121,428.8021738406287,8166.622484971838,382.4215541921683
33,SIMO,CGTP-sparse,5,10000,1,0.00034060799999999995,0.46057006157934666,0.004250645637512207,140.72332299989762,96.04289886767185,236.76622186756944,9.745141708199323
34,SIMO,CGTP-sparse,9,10000,1,0.0009115200000000001,0.5166165921837091,0.021391630172729492,69.89902102781821,192.72814381257263,262.62716484039083,15.870373340615963
35,MIMO,CGTP-dense,5,10000,146,0.0013369599999999999,3.031091123819351,0.19813692569732666,1287.5217214249587,123.39482537727825,1410.916546802237,110.60112469084481
37,MIMO,Matrix-TP,4,10000,17,0.00045823999999999995,5.04219825565815,0.15633022785186768,7969.110134736535,2058.4531199169187,10027.563254653453,454.9480349203935
38,SIMO,CGTP-dense,9,10000,1,0.000173856,1.623573713004589,0.039154648780822754,3365.2719296076248,1042.4954466932015,4407.767376300827,278.01626179184984
39,MIMO,CGTP-dense,10,10000,891,0.006092607999999999,50.29824972897768,1.8561851978302002,1826.26875168882,254.00299826361095,2080.271749952431,180.75888823800148
40,SISO,GTP-grid,6,10000,1,0.000181984,0.9997297301888466,0.1010434627532959,3317.9357651158084,2040.516981389198,5358.452746505007,536.307745683014
42,SISO,GTP-grid,7,10000,1,0.00022403199999999999,1.2593324482440948,0.15013325214385986,3292.2694925054366,2192.4848961594075,5484.754388664844,621.12981003613
43,SIMO,CGTP-dense,2,10000,1,3.1104e-05,0.0378575399518013,0.002413034439086914,635.9368115216047,481.42176467285014,1117.3585761944548,75.68988695706481
44,SISO,GTP-fourier,5,10000,1,0.0018204480000000001,6.455994561314583,0.17910385131835938,9615.769732189596,483.4846585161363,10099.254390705733,461.62230957947446
45,SISO,CGTP-sparse,8,10000,1,5.8784e-05,0.04276827163994312,0.001287221908569336,69.7272934335784,220.50100787519736,290.22830130877577,9.159220259723977
46,MIMO,GTP-grid,10,10000,41,0.000668864,15.419466258957982,0.3244173526763916,13723.17357810494,156.54974874232707,13879.723326847268,730.6324825924958
48,MIMO,GTP-grid,6,10000,25,0.00027952,2.631622027605772,0.11404764652252197,5925.884457805035,1916.4474110647766,7842.331868869812,523.5443791655662
49,SIMO,GTP-grid,1,10000,1,7.7664e-05,0.2732602059841156,0.00518488883972168,2634.27170407213,74.02243991206197,2708.2941439841916,84.44554700893018
50,SISO,GTP-fourier,3,10000,1,0.00042624,1.2621572762727737,0.05601167678833008,4405.774625975499,306.893896724126,4712.668522699624,314.75205661545874
52,MIMO,Matrix-TP,5,10000,21,0.000471872,9.079818725585938,0.2574446201324463,16646.075043745146,3844.8574781491243,20490.932521894272,545.3633355290278
53,MIMO,Matrix-TP,10,10000,41,0.007787456,253.08984375,3.514067530632019,22108.572122520243,6662.702238636771,28771.274361157015,471.22554315489987
55,MIMO,Matrix-TP,9,10000,37,0.003472576,152.083740234375,2.4179800748825073,42803.76016332016,132.68320851353306,42936.443371833695,770.1341860765733
56,SIMO,CGTP-sparse,6,10000,1,0.000516768,0.5831905007362366,0.006028532981872559,105.75201580508676,112.39108255265046,218.14309835773722,12.211555253861444
57,MIMO,GTP-grid,1,10000,5,7.8368e-05,0.2744876444339752,0.005334019660949707,2642.0231715236205,74.4970722460025,2716.5202437696234,87.7052781050248
58,SISO,GTP-grid,8,10000,1,0.00035750399999999997,4.067420855164528,0.15470552444458008,7696.304334756525,967.5806193684416,8663.884954124966,534.9554070902668
59,MIMO,GTP-fourier,4,10000,17,0.0009182400000000001,4.232997298240662,0.11072564125061035,9035.201654595241,474.85525613175577,9510.056910726997,464.2657317720057
60,SIMO,CGTP-dense,5,10000,1,5.5871999999999996e-05,0.39919527620077133,0.010932683944702148,4619.7973128832,719.5541451787633,5339.351458061963,192.54273855251807
62,SISO,CGTP-sparse,2,10000,1,1.5776e-05,0.005870239809155464,0.0003819465637207031,140.48941449598755,135.88083611970902,276.37025061569653,18.142495497538192
63,MIMO,GTP-grid,5,10000,21,0.000185024,1.5057029537856579,0.07325875759124756,5668.322503461492,1700.2300933633053,7368.552596824797,452.8853198839986
65,SIMO,GTP-grid,2,10000,1,7.776e-05,0.17127900570631027,0.01366424560546875,1449.2077586837233,698.0467954159279,2147.254554099651,202.51135306107113
67,SISO,GTP-fourier,2,10000,1,0.000183392,0.42172885686159134,0.029000043869018555,3399.3872079544585,332.67277844760656,3732.059986402065,248.80178201643554
68,SIMO,GTP-grid,10,10000,1,0.000635648,13.244674684479833,0.3088812828063965,11445.045370655722,1004.0146346278808,12449.060005283602,619.1195442739972
69,SIMO,GTP-grid,3,10000,1,9.616e-05,0.35699573159217834,0.026450514793395996,2875.048363967117,660.5820518765627,3535.6304158436797,290.5862112511114
70,SISO,GTP-fourier,7,10000,1,0.005766272,22.674043491482735,0.4256119728088379,17341.34514346379,757.2547943237851,18098.599937787578,485.2464478061198
71,MIMO,GTP-fourier,2,10000,9,0.000185664,0.44048162549734116,0.030269145965576172,3680.5945597345653,337.7521757426167,4018.346735477182,268.434582532709
72,SIMO,GTP-grid,4,10000,1,0.00014092800000000002,0.9822744242846966,0.0435941219329834,4837.69348221866,1174.2735706629994,6011.96705288166,349.8532214373955
74,MIMO,CGTP-dense,8,10000,489,0.003129248,16.951709158718586,0.7979568243026733,1680.508898489425,200.0845809987027,1880.5934794881277,160.8256478311764
77,SIMO,GTP-grid,8,10000,1,0.000463552,8.268718644976616,0.1757040023803711,8373.266046784182,1997.9297216590892,10371.195768443271,417.8064900181057
78,SIMO,CGTP-dense,3,10000,1,3.5551999999999994e-05,0.06424475461244583,0.0041675567626953125,975.0949639102832,657.3306040633056,1632.4255679735888,111.76904615984004
79,SIMO,CGTP-sparse,10,10000,1,0.0009485120000000001,0.8280634321272373,0.025522232055664062,79.5090994373717,195.67444772284537,275.1835471602171,15.33098658317944
80,SIMO,CGTP-sparse,2,10000,1,4.7712e-05,0.018086638301610947,0.0008165836334228516,87.97978575838432,77.25920969478955,165.23899545317389,12.485217466436135
82,SIMO,CGTP-sparse,1,10000,1,1.968e-05,0.014842672273516655,0.00024008750915527344,436.3650749531121,80.79177492095924,517.1568498740714,8.586198069306294
85,MIMO,CGTP-sparse,5,10000,146,0.0012617280000000002,1.6517000012099743,0.10643434524536133,344.4011286049444,199.763111883027,544.1642404879714,38.07613319263331
86,SISO,GTP-fourier,8,10000,1,0.009173792,37.30443678796291,0.6805052757263184,12389.697889706942,553.1427384970456,12942.840628203987,529.9587919775431
87,MIMO,Matrix-TP,3,10000,13,0.000239296,1.347020149230957,0.03759300708770752,5715.805572863906,1530.624981391368,7246.430554255275,180.68598571996893
88,MIMO,Matrix-TP,7,10000,29,0.001144992,34.625518798828125,0.8902040719985962,28837.70663507245,113.97778220576271,28951.68441727821,819.9256061905195
89,SISO,CGTP-sparse,4,10000,1,2.2207999999999998e-05,0.020124347880482674,0.0006814002990722656,309.938509549,270.6489142631976,580.5874238121976,19.890583066205004
90,MIMO,CGTP-dense,3,10000,44,0.00034703999999999996,0.9483531713485718,0.03735315799713135,1780.3040033619575,144.97650463063079,1925.2805079925884,141.0166064817106
92,MIMO,Matrix-TP,1,10000,5,4.5567999999999995e-05,0.09506344795227051,0.003631114959716797,1918.86369999627,268.955776563428,2187.819476559698,86.43610596416981
93,MIMO,GTP-grid,3,10000,13,9.84e-05,0.38721074908971786,0.027791142463684082,3043.9890025397776,832.7230802662574,3876.712082806035,307.3764596821518
94,MIMO,GTP-grid,9,10000,37,0.0005990399999999999,12.770586550235748,0.24839842319488525,14622.555111335085,139.38535983577688,14761.94047117086,598.3818812698444
95,SISO,CGTP-sparse,6,10000,1,3.232e-05,0.03488238342106342,0.000981450080871582,286.3564308580154,356.54390304598525,642.9003339040006,18.34387079847464
98,SIMO,CGTP-sparse,7,10000,1,0.00074176,0.6887423601001501,0.008591413497924805,97.58916462590696,134.90994386945223,232.49910849535917,12.677765011027574
100,MIMO,CGTP-sparse,4,10000,85,0.000863936,0.9595689103007317,0.07823586463928223,583.6313605492044,151.28344305130872,734.9148036005131,28.57408429482857
101,SIMO,CGTP-dense,4,10000,1,3.9232000000000007e-05,0.16219884902238846,0.006405472755432129,3189.5905038803667,77.87397560990304,3267.4644794902697,149.78515665036764
102,SIMO,CGTP-sparse,3,10000,1,9.2064e-05,0.07892530970275402,0.001120448112487793,198.47416106313074,67.31617621374973,265.7903372768805,6.415396271081792
103,SISO,GTP-grid,5,10000,1,0.000148352,0.7561752498149872,0.06507563591003418,3074.5799427167562,1838.5408071067823,4913.120749823538,439.73372478874904
104,SIMO,CGTP-dense,1,10000,1,3.0879999999999996e-05,0.03402391076087952,0.001123666763305664,952.2671930051331,34.410514734582954,986.6777077397157,37.50391453752305
105,MIMO,GTP-grid,7,10000,29,0.000291328,3.9312289617955685,0.17076122760772705,10010.161287682804,834.8279900863879,10844.989277769191,646.3496072968414
106,MIMO,GTP-fourier,7,10000,29,0.005786752,22.803433567285538,0.4448530673980713,18310.15315764669,787.6470704817804,19097.80022812847,625.9177938754491
110,SIMO,CGTP-sparse,8,10000,1,0.00073024,0.8195268698036671,0.01690530776977539,127.92724226740896,192.14309766979176,320.0703399372007,17.520739108868273
112,SISO,GTP-fourier,1,10000,1,8.1824e-05,0.2104588747024536,0.010247349739074707,2408.957142187078,247.8534204250655,2656.8105626121433,142.76328216413998
113,SISO,GTP-fourier,6,10000,1,0.00331824,13.34677229821682,0.2908499240875244,10961.606453031776,520.1359586929198,11481.742411724694,479.6405496022564
114,SIMO,CGTP-dense,10,10000,1,0.000152352,2.5281271263957024,0.04693961143493652,7228.186839252521,1078.2890292975246,8306.475868550046,315.11459999337285
115,SISO,GTP-grid,10,10000,1,0.00043056,4.640805535018444,0.27328479290008545,7958.566563657506,1001.7483783504922,8960.314942007999,669.4151981353284
116,MIMO,GTP-grid,8,10000,33,0.00050128,9.897468492388725,0.1848846673965454,12075.473130402497,1166.4248648208634,13241.89799522336,457.03260212452255
118,MIMO,GTP-fourier,6,10000,25,0.0033382079999999996,13.44297194480896,0.30485832691192627,11710.319724947878,541.8553739241296,12252.175098872007,610.327604850537
119,SISO,GTP-grid,9,10000,1,0.00038902399999999997,4.348540738224983,0.20947039127349854,7904.544686046918,1015.2784264931115,8919.82311254003,610.9467476856764
120,MIMO,Matrix-TP,8,10000,33,0.004087968,100.09356689453125,1.5895634889602661,23958.334186367385,4405.807826995294,28364.142013362678,403.48615725111335
122,MIMO,GTP-grid,2,10000,9,8.038399999999998e-05,0.18577890843153,0.01426076889038086,1552.9480474337518,737.1885406790653,2290.1365881128168,208.7244414202303
123,SISO,GTP-fourier,9,10000,1,0.014208799999999999,55.58529832959175,0.7165114879608154,12024.495774405092,531.6128527973303,12556.108627202422,554.9662302605942
124,SISO,GTP-grid,3,10000,1,9.3312e-05,0.2746630683541298,0.024846792221069336,2272.4942014512426,805.8760021879419,3078.3702036391846,317.64690236593833
126,SIMO,CGTP-dense,8,10000,1,9.872e-05,1.6608295068144798,0.024703264236450195,7248.064519489936,1021.7972501823533,8269.86176967229,234.22147498860699
127,SIMO,GTP-grid,9,10000,1,0.000554688,11.409586429595947,0.23648226261138916,11546.340668347735,1013.9264680893874,12560.267136437124,557.5364871393008
128,MIMO,CGTP-dense,2,10000,19,0.000173248,0.4370998442173004,0.011270523071289062,1825.7367331264204,189.8586952788345,2015.5954284052548,90.42569380326083
