lmax,irreps_type,tensor_product_type,batch,Time
1,SISO,CGTP-dense,1000,1.2560280000055712e-05
2,SISO,CGTP-dense,1000,5.423570999999683e-05
3,SISO,CGTP-dense,1000,1.3221030000156731e-05
4,SISO,CGTP-dense,1000,0.00014356990000003123
5,SISO,CGTP-dense,1000,1.357884000007914e-05
6,SISO,CGTP-dense,1000,0.0004939646300000433
7,SISO,CGTP-dense,1000,1.4465899999951404e-05
8,SISO,CGTP-dense,1000,0.0011367887699999279
1,SIMO,CGTP-dense,1000,4.759254999990859e-05
2,SIMO,CGTP-dense,1000,8.969327000002636e-05
3,SIMO,CGTP-dense,1000,0.00021648722000009002
4,SIMO,CGTP-dense,1000,0.00043737250999990705
5,SIMO,CGTP-dense,1000,0.001055008680000089
6,SIMO,CGTP-dense,1000,0.001558760410000275
7,SIMO,CGTP-dense,1000,0.002365185809999879
8,SIMO,CGTP-dense,1000,0.0044436181200001815
1,MIMO,CGTP-dense,1000,6.948862000005106e-05
2,MIMO,CGTP-dense,1000,0.0002973106299999806
3,MIMO,CGTP-dense,1000,0.0012407310299998643
4,MIMO,CGTP-dense,1000,0.004274644639999643
5,MIMO,CGTP-dense,1000,0.009945277179999969
6,MIMO,CGTP-dense,1000,0.022817904779999943
7,MIMO,CGTP-dense,1000,0.0438681747799998
8,MIMO,CGTP-dense,1000,0.07342688813999952
1,SISO,CGTP-sparse,1000,1.410807000002734e-05
2,SISO,CGTP-sparse,1000,7.991967999998906e-05
3,SISO,CGTP-sparse,1000,1.2451749999922158e-05
4,SISO,CGTP-sparse,1000,0.000164358490000005
5,SISO,CGTP-sparse,1000,1.3518329999993028e-05
6,SISO,CGTP-sparse,1000,0.00028909275000010837
7,SISO,CGTP-sparse,1000,1.401752999992567e-05
8,SISO,CGTP-sparse,1000,0.0003920594599999916
1,SIMO,CGTP-sparse,1000,9.214433999998661e-05
2,SIMO,CGTP-sparse,1000,0.00020073189999997965
3,SIMO,CGTP-sparse,1000,0.0005616919200000936
4,SIMO,CGTP-sparse,1000,0.0011652719699998216
5,SIMO,CGTP-sparse,1000,0.0021619399400000104
6,SIMO,CGTP-sparse,1000,0.0036197873399997603
7,SIMO,CGTP-sparse,1000,0.005616801990000226
8,SIMO,CGTP-sparse,1000,0.009921176819999928
1,MIMO,CGTP-sparse,1000,4.243032999992735e-05
2,MIMO,CGTP-sparse,1000,0.0007848939299999458
3,MIMO,CGTP-sparse,1000,0.0030306523900000925
4,MIMO,CGTP-sparse,1000,0.009131797980000158
5,MIMO,CGTP-sparse,1000,0.02991836156000005
6,MIMO,CGTP-sparse,1000,0.1078115574800006
7,MIMO,CGTP-sparse,1000,0.25900960578999505
8,MIMO,CGTP-sparse,1000,0.505665606350035
1,SISO,GTP-grid,1000,0.3118951921399998
2,SISO,GTP-grid,1000,0.21816938790999996
3,SISO,GTP-grid,1000,0.28209177627000015
4,SISO,GTP-grid,1000,0.31254072233999974
5,SISO,GTP-grid,1000,0.32100184320000014
6,SISO,GTP-grid,1000,0.2542117233800003
7,SISO,GTP-grid,1000,0.31299983615000004
8,SISO,GTP-grid,1000,0.2695340655599998
1,SIMO,GTP-grid,1000,0.2646239773199995
2,SIMO,GTP-grid,1000,0.2158591662700003
3,SIMO,GTP-grid,1000,0.2988228801499997
4,SIMO,GTP-grid,1000,0.31601595023000006
5,SIMO,GTP-grid,1000,0.35156983531000013
6,SIMO,GTP-grid,1000,0.30578328101000024
7,SIMO,GTP-grid,1000,0.3830629799799999
8,SIMO,GTP-grid,1000,0.37636046857000005
1,MIMO,GTP-grid,1000,0.2733785598799997
2,MIMO,GTP-grid,1000,0.19601550020999986
3,MIMO,GTP-grid,1000,0.2935943734800002
4,MIMO,GTP-grid,1000,0.3160669457800001
5,MIMO,GTP-grid,1000,0.3540781924500002
6,MIMO,GTP-grid,1000,0.3069421449899998
7,MIMO,GTP-grid,1000,0.3875658145299997
8,MIMO,GTP-grid,1000,0.37687667638
1,SISO,GTP-fourier,1000,0.027050589620000273
2,SISO,GTP-fourier,1000,0.035069206590000235
3,SISO,GTP-fourier,1000,0.04765294496000024
4,SISO,GTP-fourier,1000,0.08336363464999948
5,SISO,GTP-fourier,1000,0.12254761574999862
6,SISO,GTP-fourier,1000,0.22989355418000287
7,SISO,GTP-fourier,1000,0.38827664257999345
8,SISO,GTP-fourier,1000,0.4610985983200033
1,SIMO,GTP-fourier,1000,0.026490105259999872
2,SIMO,GTP-fourier,1000,0.033125521980000024
3,SIMO,GTP-fourier,1000,0.046531290550000076
4,SIMO,GTP-fourier,1000,0.08292739327000107
5,SIMO,GTP-fourier,1000,0.14356634439999852
6,SIMO,GTP-fourier,1000,0.23798391054000148
7,SIMO,GTP-fourier,1000,0.41340714123
8,SIMO,GTP-fourier,1000,0.4544110158500018
1,MIMO,GTP-fourier,1000,0.0312229824200001
2,MIMO,GTP-fourier,1000,0.03301565044
3,MIMO,GTP-fourier,1000,0.04830188702999962
4,MIMO,GTP-fourier,1000,0.08782425559000061
5,MIMO,GTP-fourier,1000,0.12476242840999958
6,MIMO,GTP-fourier,1000,0.2068974936699999
7,MIMO,GTP-fourier,1000,0.3652930510499948
8,MIMO,GTP-fourier,1000,0.5292882265300011
1,SISO,CGTP-dense,500,1.342978000009154e-05
2,SISO,CGTP-dense,500,3.566631000014198e-05
3,SISO,CGTP-dense,500,1.3625380000075183e-05
4,SISO,CGTP-dense,500,8.094768000001196e-05
5,SISO,CGTP-dense,500,1.363173999999745e-05
6,SISO,CGTP-dense,500,0.0001473570800000168
7,SISO,CGTP-dense,500,1.3761479999896408e-05
8,SISO,CGTP-dense,500,0.0006268173400000521
1,SIMO,CGTP-dense,500,3.2213120000044174e-05
2,SIMO,CGTP-dense,500,6.546489000013977e-05
3,SIMO,CGTP-dense,500,0.00012230675000004965
4,SIMO,CGTP-dense,500,0.00016929936000000366
5,SIMO,CGTP-dense,500,0.0002999920200000439
6,SIMO,CGTP-dense,500,0.000630295859999812
7,SIMO,CGTP-dense,500,0.0011029157799997335
8,SIMO,CGTP-dense,500,0.0019520902100002146
1,MIMO,CGTP-dense,500,4.451098000009424e-05
2,MIMO,CGTP-dense,500,0.00016304407999998105
3,MIMO,CGTP-dense,500,0.0005964961299999417
4,MIMO,CGTP-dense,500,0.0015217778099999536
5,MIMO,CGTP-dense,500,0.0047812679599998735
6,MIMO,CGTP-dense,500,0.011379251520000046
7,MIMO,CGTP-dense,500,0.019573422650000047
8,MIMO,CGTP-dense,500,0.03471650423000014
1,SISO,CGTP-sparse,500,1.3642570000094168e-05
2,SISO,CGTP-sparse,500,5.310632999989906e-05
3,SISO,CGTP-sparse,500,1.3669709999959423e-05
4,SISO,CGTP-sparse,500,9.815328000023271e-05
5,SISO,CGTP-sparse,500,1.2846430000035269e-05
6,SISO,CGTP-sparse,500,0.00015396632999994608
7,SISO,CGTP-sparse,500,1.3048449999892852e-05
8,SISO,CGTP-sparse,500,0.00021591031000014026
1,SIMO,CGTP-sparse,500,5.261440999996481e-05
2,SIMO,CGTP-sparse,500,0.00011700286000042582
3,SIMO,CGTP-sparse,500,0.00026107930000002
4,SIMO,CGTP-sparse,500,0.0005406313499998205
5,SIMO,CGTP-sparse,500,0.001154209779999924
6,SIMO,CGTP-sparse,500,0.0020448779000001947
7,SIMO,CGTP-sparse,500,0.0029305405800000273
8,SIMO,CGTP-sparse,500,0.004437398560000147
1,MIMO,CGTP-sparse,500,3.072536999997766e-05
2,MIMO,CGTP-sparse,500,0.00041309441000013435
3,MIMO,CGTP-sparse,500,0.0015868087399998386
4,MIMO,CGTP-sparse,500,0.003987031950000244
5,MIMO,CGTP-sparse,500,0.014055763309999207
6,MIMO,CGTP-sparse,500,0.05547881318999601
7,MIMO,CGTP-sparse,500,0.1634929847900014
8,MIMO,CGTP-sparse,500,0.32487934716999006
1,SISO,GTP-grid,500,0.10319566420999998
2,SISO,GTP-grid,500,0.08626390990999998
3,SISO,GTP-grid,500,0.08930793124000008
4,SISO,GTP-grid,500,0.09457621523000004
5,SISO,GTP-grid,500,0.16378230739999988
6,SISO,GTP-grid,500,0.17046195962000002
7,SISO,GTP-grid,500,0.09558493340000009
8,SISO,GTP-grid,500,0.0903160765400001
1,SIMO,GTP-grid,500,0.07976804919000025
2,SIMO,GTP-grid,500,0.08309506805999976
3,SIMO,GTP-grid,500,0.09656428897999994
4,SIMO,GTP-grid,500,0.0964678306199999
5,SIMO,GTP-grid,500,0.1706158926099997
6,SIMO,GTP-grid,500,0.18578236703000012
7,SIMO,GTP-grid,500,0.12354975249999992
8,SIMO,GTP-grid,500,0.12588041124
1,MIMO,GTP-grid,500,0.07944232367000016
2,MIMO,GTP-grid,500,0.0978483488200001
3,MIMO,GTP-grid,500,0.12074968156000018
4,MIMO,GTP-grid,500,0.08804893878000013
5,MIMO,GTP-grid,500,0.07471747510000004
6,MIMO,GTP-grid,500,0.11025773754000003
7,MIMO,GTP-grid,500,0.12261186001999992
8,MIMO,GTP-grid,500,0.11970634781000002
1,SISO,GTP-fourier,500,0.03354414467999966
2,SISO,GTP-fourier,500,0.031839148500000115
3,SISO,GTP-fourier,500,0.04224857845999999
4,SISO,GTP-fourier,500,0.04676805981000072
5,SISO,GTP-fourier,500,0.08775321959000053
6,SISO,GTP-fourier,500,0.12775561185999834
7,SISO,GTP-fourier,500,0.18431544859000154
8,SISO,GTP-fourier,500,0.3298720421100074
1,SIMO,GTP-fourier,500,0.027968412140000006
2,SIMO,GTP-fourier,500,0.03072926128000013
3,SIMO,GTP-fourier,500,0.0438600313700001
4,SIMO,GTP-fourier,500,0.0523718770699989
5,SIMO,GTP-fourier,500,0.08287227815999813
6,SIMO,GTP-fourier,500,0.12517501519000235
7,SIMO,GTP-fourier,500,0.19553316428999096
8,SIMO,GTP-fourier,500,0.3680911876000005
1,MIMO,GTP-fourier,500,0.023105841849999854
2,MIMO,GTP-fourier,500,0.03634285883000022
3,MIMO,GTP-fourier,500,0.035194480019999974
4,MIMO,GTP-fourier,500,0.04331968350000111
5,MIMO,GTP-fourier,500,0.0932846983300007
6,MIMO,GTP-fourier,500,0.1263330856999994
7,MIMO,GTP-fourier,500,0.22661803995000127
8,MIMO,GTP-fourier,500,0.37006678271999704